Distance(fm),Vcoul,Sao Paulo,M3Y,RMF-L1
   11.099999999999977      ,   4.6692972972973070      ,   4.6692972627790876      ,   4.6692971518338808      ,   4.6692972707534173     
   11.199999999999976      ,   4.6276071428571530      ,   4.6276071174535023      ,   4.6276070305813093      ,   4.6276071229499482     
   11.299999999999976      ,   4.5866548672566472      ,   4.5866548485671421      ,   4.5866547805897309      ,   4.5866548523256103     
   11.399999999999975      ,   4.5464210526315885      ,   4.5464210388862050      ,   4.5464209857272522      ,   4.5464210414319739     
   11.499999999999975      ,   4.5068869565217486      ,   4.5068869464158077      ,   4.5068869048695852      ,   4.5068869481203988     
   11.599999999999975      ,   4.4680344827586307      ,   4.4680344753308221      ,   4.4680344428785963      ,   4.4680344764559186     
   11.699999999999974      ,   4.4298461538461638      ,   4.4298461483884353      ,   4.4298461230529691      ,   4.4298461491175081     
   11.799999999999974      ,   4.3923050847457725      ,   4.3923050807367963      ,   4.3923050609672085      ,   4.3923050811978079     
   11.899999999999974      ,   4.3553949579832025      ,   4.3553949550392677      ,   4.3553949396200329      ,   4.3553949553209348     
   11.999999999999973      ,   4.3191000000000095      ,   4.3190999978387890      ,   4.3190999858179175      ,   4.3190999980021978     
   12.099999999999973      ,   4.2834049586776954      ,   4.2834049570915287      ,   4.2834049477239393      ,   4.2834049571783996     
   12.199999999999973      ,   4.2482950819672229      ,   4.2482950808034179      ,   4.2482950735063438      ,   4.2482950808419719     
   12.299999999999972      ,   4.2137560975609851      ,   4.2137560967073036      ,   4.2137560910252114      ,   4.2137560967164056     
   12.399999999999972      ,   4.1797741935483970      ,   4.1797741929223626      ,   4.1797741884993753      ,   4.1797741929144392     
   12.499999999999972      ,   4.1463360000000096      ,   4.1463359995410345      ,   4.1463359960992809      ,   4.1463359995241182     
   12.599999999999971      ,   4.1134285714285808      ,   4.1134285710921690      ,   4.1134285684147978      ,   4.1134285710713216     
   12.699999999999971      ,   4.0810393700787495      ,   4.0810393698322320      ,   4.0810393677500922      ,   4.0810393698105329     
   12.799999999999971      ,   4.0491562500000091      ,   4.0491562498194078      ,   4.0491562482006165      ,   4.0491562497986298     
   12.899999999999970      ,   4.0177674418604745      ,   4.0177674417281954      ,   4.0177674404699681      ,   4.0177674417092675     
   12.999999999999970      ,   3.9868615384615476      ,   3.9868615383646837      ,   3.9868615373869498      ,   3.9868615383480064     
   13.099999999999969      ,   3.9564274809160396      ,   3.9564274808451252      ,   3.9564274800855297      ,   3.9564274808307767     
   13.199999999999969      ,   3.9264545454545545      ,   3.9264545454026494      ,   3.9264545448126524      ,   3.9264545453905231     
   13.299999999999969      ,   3.8969323308270769      ,   3.8969323307890935      ,   3.8969323303309213      ,   3.8969323307789874     
   13.399999999999968      ,   3.8678507462686658      ,   3.8678507462408760      ,   3.8678507458851428      ,   3.8678507462325471     
   13.499999999999968      ,   3.8392000000000093      ,   3.8391999999796815      ,   3.8391999997035335      ,   3.8391999999728799     
   13.599999999999968      ,   3.8109705882353033      ,   3.8109705882204374      ,   3.8109705880061053      ,   3.8109705882149250     
   13.699999999999967      ,   3.7831532846715419      ,   3.7831532846606719      ,   3.7831532844943454      ,   3.7831532846562337     
   13.799999999999967      ,   3.7557391304347916      ,   3.7557391304268455      ,   3.7557391302977905      ,   3.7557391304232914     
   13.899999999999967      ,   3.7287194244604405      ,   3.7287194244546327      ,   3.7287194243545114      ,   3.7287194244518007     
   13.999999999999966      ,   3.7020857142857233      ,   3.7020857142814791      ,   3.7020857142038150      ,   3.7020857142792321     
   14.099999999999966      ,   3.6758297872340515      ,   3.6758297872309504      ,   3.6758297871707137      ,   3.6758297872291745     
   14.199999999999966      ,   3.6499436619718399      ,   3.6499436619695746      ,   3.6499436619228596      ,   3.6499436619681753     
   14.299999999999965      ,   3.6244195804195893      ,   3.6244195804179351      ,   3.6244195803817103      ,   3.6244195804168355     
   14.399999999999965      ,   3.5992500000000089      ,   3.5992499999988010      ,   3.5992499999707137      ,   3.5992499999979395     
   14.499999999999964      ,   3.5744275862069053      ,   3.5744275862060233      ,   3.5744275861842474      ,   3.5744275862053501     
   14.599999999999964      ,   3.5499452054794607      ,   3.5499452054788168      ,   3.5499452054619356      ,   3.5499452054782918     
   14.699999999999964      ,   3.5257959183673555      ,   3.5257959183668857      ,   3.5257959183537997      ,   3.5257959183664771     
   14.799999999999963      ,   3.5019729729729816      ,   3.5019729729726388      ,   3.5019729729624958      ,   3.5019729729723212     
   14.899999999999963      ,   3.4784697986577267      ,   3.4784697986574766      ,   3.4784697986496149      ,   3.4784697986572306     
   14.999999999999963      ,   3.4552800000000086      ,   3.4552799999998260      ,   3.4552799999937331      ,   3.4552799999996355     
