r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  4.15400000E+00,  1.24501882E+01,  9.69322034E-01,  1.14808662E+01, -6.31878110E-03,  1.14745474E+01
  4.17200000E+00,  1.24019585E+01,  9.64745763E-01,  1.14372128E+01, -6.01541812E-03,  1.14311974E+01
  4.19000000E+00,  1.23535203E+01,  9.60169492E-01,  1.13933508E+01, -5.72670722E-03,  1.13876241E+01
  4.20800000E+00,  1.23048736E+01,  9.55593220E-01,  1.13492804E+01, -5.45193615E-03,  1.13438284E+01
  4.22600000E+00,  1.22560183E+01,  9.51016949E-01,  1.13050014E+01, -5.19042752E-03,  1.12998110E+01
  4.24400000E+00,  1.22069545E+01,  9.46440678E-01,  1.12605139E+01, -4.94153708E-03,  1.12555723E+01
  4.26200000E+00,  1.21576822E+01,  9.41864407E-01,  1.12158178E+01, -4.70465210E-03,  1.12111131E+01
  4.28000000E+00,  1.21082013E+01,  9.37288136E-01,  1.11709132E+01, -4.47918978E-03,  1.11664340E+01
  4.29800000E+00,  1.20585119E+01,  9.32711864E-01,  1.11258001E+01, -4.26459584E-03,  1.11215355E+01
  4.31600000E+00,  1.20086140E+01,  9.28135593E-01,  1.10804784E+01, -4.06034303E-03,  1.10764180E+01
  4.33400000E+00,  1.19587448E+01,  9.23559322E-01,  1.10351855E+01, -3.86592989E-03,  1.10313196E+01
  4.35200000E+00,  1.19092831E+01,  9.18983051E-01,  1.09903000E+01, -3.68087943E-03,  1.09866192E+01
  4.37000000E+00,  1.18602288E+01,  9.14406780E-01,  1.09458221E+01, -3.50473792E-03,  1.09423173E+01
  4.38800000E+00,  1.18115770E+01,  9.09830508E-01,  1.09017465E+01, -3.33707377E-03,  1.08984094E+01
  4.40600000E+00,  1.17633227E+01,  9.05254237E-01,  1.08580685E+01, -3.17747647E-03,  1.08548910E+01
  4.42400000E+00,  1.17154611E+01,  9.00677966E-01,  1.08147832E+01, -3.02555547E-03,  1.08117576E+01
  4.44200000E+00,  1.16679874E+01,  8.96101695E-01,  1.07718857E+01, -2.88093929E-03,  1.07690048E+01
  4.46000000E+00,  1.16208969E+01,  8.91525424E-01,  1.07293714E+01, -2.74327454E-03,  1.07266282E+01
  4.47800000E+00,  1.15741849E+01,  8.86949153E-01,  1.06872358E+01, -2.61222502E-03,  1.06846235E+01
  4.49600000E+00,  1.15278470E+01,  8.82372881E-01,  1.06454741E+01, -2.48747091E-03,  1.06429866E+01
  4.51400000E+00,  1.14818786E+01,  8.77796610E-01,  1.06040820E+01, -2.36870796E-03,  1.06017133E+01
  4.53200000E+00,  1.14362754E+01,  8.73220339E-01,  1.05630550E+01, -2.25564671E-03,  1.05607994E+01
  4.55000000E+00,  1.13910330E+01,  8.68644068E-01,  1.05223889E+01, -2.14801177E-03,  1.05202409E+01
  4.56800000E+00,  1.13461471E+01,  8.64067797E-01,  1.04820793E+01, -2.04554116E-03,  1.04800338E+01
  4.58600000E+00,  1.13016136E+01,  8.59491525E-01,  1.04421221E+01, -1.94798560E-03,  1.04401741E+01
